dataset,designation,prob,label,Depth_ppm,Dur_hr,Rstar_Rsun,P_days,Rp_Re,Teff_K
KOI,K01475.03,0.9285714285714286,1.0,434.3,2.234,0.603,4.72941177,1.22,4224.0
KOI,K03444.02,0.9285714285714286,1.0,3146.7,1.6864,0.529,60.32668824,4.98,3705.0
KOI,K00736.02,0.9285714285714286,1.0,601.3,2.813,0.602,6.73893544,1.44,4126.0
KOI,K03377.01,0.9285714285714286,1.0,375.8,1.35,0.508,10.0100312,0.99,4338.0
KOI,K07182.01,0.9285714285714286,1.0,653.8,2.561,0.684,6.853888,1.74,4199.0
KOI,K04808.01,0.9285714285714286,1.0,254.4,1.413,0.399,2.40174996,0.65,3606.0
KOI,K07630.01,0.9285714285714286,1.0,199.0,2.558,0.521,16.2982201,0.78,3905.0
KOI,K03119.01,0.9285714285714286,1.0,1546.8,1.0422,0.25,2.184437698,0.94,3421.0
KOI,K02174.01,0.9285714285714286,1.0,781.8,2.311,0.637,6.69332825,2.44,4245.0
KOI,K02992.01,0.9285714285714286,1.0,1270.7,3.48,0.553,82.6595174,2.03,3952.0
KOI,K00503.01,0.9285714285714286,1.0,1468.6,2.71,0.615,8.22241355,2.28,4213.0
KOI,K00877.02,0.9285714285714286,1.0,1250.6,2.7363,0.633,12.03987488,2.18,4261.0
KOI,K00877.01,0.9285714285714286,1.0,1410.7,2.3892,0.633,5.95489993,2.33,4261.0
KOI,K02114.01,0.9285714285714286,1.0,684.0,2.1229,0.697,4.421566535,2.19,4299.0
KOI,K02015.01,0.9285714285714286,0.0,688.6,4.051,0.509,5.73865933,1.84,3841.0
KOI,K00854.01,0.9285714285714286,1.0,1626.0,4.685,0.491,56.0560754,1.94,3593.0
KOI,K00958.01,0.9285714285714286,1.0,1300.7,1.243,0.72,21.76129812,2.53,4859.0
KOI,K01895.01,0.9285714285714286,1.0,1320.3,2.2906,0.524,8.45746636,1.87,4347.0
KOI,K01577.01,0.9285714285714286,1.0,599.6,1.6271,0.581,2.806243488,1.41,4153.0
KOI,K00430.01,0.9285714285714286,1.0,1709.0,2.7075,0.607,12.37646897,2.53,4200.0
KOI,K01895.03,0.9285714285714286,1.0,1262.0,2.691,0.524,32.1340014,1.84,4347.0
